Trial	RT	Difference	sDifference	Direction	Confidence

1	373	-1131	-125	-4	-3
2	1326	-178	-22	3	7
3	1130	-374	-47	0	0
4	2308	804	101	6	-5
5	1475	-29	-4	6	3
6	1216	-288	-36	0	12
7	1636	132	17	4	12
8	1143	-361	-45	-4	24
9	1282	-222	-28	0	6
10	1799	295	37	4	31
11	1093	-411	-51	8	9
12	1838	334	42	8	16
13	1000	-504	-63	-3	9
14	1704	200	25	7	-2
15	1750	246	31	8	-9
16	1219	-285	-36	5	9
17	1444	-60	-8	3	31
18	1594	90	11	0	30
19	1878	374	47	6	17
20	2285	781	98	0	18
21	1601	97	12	11	10
22	1471	-33	-4	5	18
23	1134	-370	-46	0	23
24	2088	584	73	3	9
25	1481	-23	-3	0	27
26	1389	-115	-14	0	16
27	1882	378	47	0	20
28	1443	-61	-8	-5	18
29	1902	398	50	1	12
30	1464	-40	-5	5	23
31	1613	109	14	10	26
32	1737	233	29	11	7
33	1936	432	54	13	10
34	1405	-99	-12	0	0
35	1896	392	49	7	11
36	1388	-116	-15	2	5
37	2021	517	65	0	24
38	1925	421	53	10	0
39	1470	-34	-4	9	0
40	1121	-383	-48	0	30
41	1500	-4	-1	7	14
42	1292	-212	-27	0	29
43	1744	240	30	5	12
44	1343	-161	-20	15	11
45	1703	199	25	0	14
46	1444	-60	-8	10	16
47	1638	134	17	3	13
48	1383	-121	-15	0	8
49	1535	31	4	6	12
50	1204	-300	-38	1	25
51	1484	-20	-3	5	17
52	1167	-337	-42	7	28
53	1356	-148	-19	0	15
54	1485	-19	-2	3	21
55	1459	-45	-6	0	30
56	1851	347	43	3	23
57	1370	-134	-17	0	30
58	1497	-7	-1	5	29
59	1762	258	32	0	29
60	1704	200	25	0	31
61	1014	-490	-61	-2	10
62	1527	23	3	9	-15
63	1280	-224	-28	0	31
64	1322	-182	-23	3	11
65	1985	481	60	9	5
66	1360	-144	-18	0	29
67	1178	-326	-41	14	-5
68	1567	63	8	0	25
69	1421	-83	-10	4	30
70	1638	134	17	1	26
71	1910	406	51	11	18
72	1559	55	7	10	14
73	1336	-168	-21	1	29
74	1656	152	19	12	9
75	1491	-13	-2	-1	9
76	1427	-77	-10	0	29
77	1641	137	17	1	25
78	1596	92	12	2	24
79	1443	-61	-8	-1	18
80	1072	-432	-54	-2	29
81	1523	19	2	2	2
82	1062	-442	-55	0	12
83	1269	-235	-29	2	28
84	2081	577	72	12	19
85	1255	-249	-31	0	30
86	1788	284	36	0	25
87	1576	72	9	3	22
88	1448	-56	-7	1	12
89	1561	57	7	8	19
90	1432	-72	-9	8	25
91	1664	160	20	15	24
92	1415	-89	-11	8	13
93	1957	453	57	5	13
94	1381	-123	-15	4	6
95	1748	244	31	7	10
96	1925	421	53	8	8
97	1412	-92	-12	-2	15
98	1398	-106	-13	0	30
99	1790	286	36	0	27
100	1438	-66	-8	2	3
101	568	-936	-117	-13	15
102	1558	54	7	0	30
103	1678	174	22	25	24
104	1617	113	14	7	16
105	1582	78	10	7	20
106	1379	-125	-16	10	30
107	1487	-17	-2	0	3
108	1264	-240	-30	0	19
109	1998	494	62	13	25
110	1323	-181	-23	18	21
111	1267	-237	-30	-2	12
112	2133	629	79	8	29
113	1321	-183	-23	1	14
114	1299	-205	-26	0	13
115	1542	38	5	17	29
116	1613	109	14	21	15
117	1555	51	6	9	25
118	1029	-475	-59	0	29
119	1509	5	1	6	28
120	1390	-114	-14	4	28
121	1383	-121	-15	30	29
122	2139	635	79	5	17
